TF,TFCommon,Bound Size,DE Size,Intersection,FDR Lower Bound,HypergeometricPVal,Response Rate,Relative Risk,Fold Enrichment,Jaccard Similarity,Genes
YDR451C,YHP1,2,5583,2,1,1,0,0,0,0,"['HST4', 'RVB1']"
YDR463W,STP1,2,7,0,1,1,0,0,0,0,[]
YDR477W,SNF1,104,285,8,0.5787658964714312,0.16040162182918732,0.07692307692307693,0.60551500411569914,1.5068825910931174,0.02099737532808399,"['AMA1', 'ARR2', 'CEG1', 'EMC2', 'LSM8', 'MUP3', 'POP7', 'RBS1']"
YDR520C,URC2,40,339,3,0.7255843632455669,0.44162337279152708,0.075,0.30716827534200797,1.2351769911504424,0.007978723404255319,"['PRP24', 'YER189W', 'YLR278C']"
YEL009C,GCN4,222,844,36,0.7036390232252672,0.34888107084658804,0.16216216216216217,0.10558407210305867,1.0726911745869092,0.03495145631067961,"['ARG7', 'CDC10', 'COG6', 'CPA1', 'GAT1', 'GGC1', 'HIS1', 'HIS3', 'HMF1', 'HMLALPHA2', 'IRC22', 'LOS1', 'MTC4', 'PCL5', 'PGK1', 'PUF4', 'RAD16', 'REC104', 'RPL14b', 'SDO1', 'SGF29', 'SHH3', 'STP2', 'STR3', 'SYS1', 'THR4', 'TIP41', 'TRS20', 'TVP23', 'URC2', 'YAH1', 'YCR006C', 'YER189W', 'YFL034W', 'YJR154W', 'YLR211C']"
YER028C,MIG3,165,115,4,0.7881067526419487,0.44351417245907299,0.024242424242424242,0.24280659760609252,1.1769169960474308,0.014492753623188406,"['MAL31', 'MFA2', 'MNE1', 'RRG1']"
YER040W,GLN3,444,88,11,0.520184040838259,0.087883939682177947,0.024774774774774775,0.72550114839744506,1.5717905405405406,0.02111324376199616,"['ALD3', 'EMP47', 'INN1', 'PEX18', 'RPL28', 'RPL37b', 'SEC16', 'SUI2', 'TRM732', 'TUS1', 'YOR223W']"
YER045C,ACA1,56,64,3,0.18795525105976477,0.025880542039689796,0.05357142857142857,2.2791511383148269,4.673270089285714,0.02564102564102564,"['FLD1', 'TMA23', 'TPO2']"
YER051W,JHD1,15,210,2,0.23228998746193802,0.10728432762399086,0.13333333333333333,1.8356131820991175,3.544761904761905,0.008968609865470852,"['CSN9', 'YJL193W']"
YER068W,MOT2,153,127,4,0.8085258821422174,0.46171295763488968,0.026143790849673203,0.2068341346598325,1.1492975142813031,0.014492753623188406,"['ATH1', 'NUP60', 'RAD50', 'TIM10']"
YER088C,DOT6,86,232,7,0.44129020495893145,0.06543330525338939,0.08139534883720931,0.99173774017623062,1.9587510024057737,0.022508038585209004,"['ACS1', 'APM2', 'FUI1', 'GNP1', 'MSH3', 'RGI1', 'YJR111C']"
YER111C,SWI4,1,5583,1,1,1,0,0,0,0,['HCM1']
YER130C,YER130C,249,69,5,0.5456766075586602,0.19315436426830807,0.020080321285140562,0.74292827237020742,1.6247599092020255,0.01597444089456869,"['BPH1', 'ECM4', 'RKM1', 'UBX3', 'YMR320W']"
YER161C,SPT2,202,4,2,0.026800107469102632,0.0074485087430483177,0.009900990099009901,4.7354471087029788,13.81930693069307,0.00980392156862745,"['RPP1a', 'STO1']"
YER169W,RPH1,304,467,28,0.7433791356413603,0.32191703035825203,0.09210526315789473,0.14739922974928854,1.101121379465795,0.03768506056527591,"['CDC28', 'COS111', 'COS4', 'DPS1', 'FMP52', 'GAT4', 'GLN4', 'ILV3', 'IZH1', 'KCS1', 'MAM1', 'MET31', 'MF(ALPHA)2', 'MRK1', 'PHO86', 'REX2', 'RPL27b', 'RPL41a', 'RPS17b', 'SFC1', 'SGO1', 'SLY1', 'UBP13', 'YAR066W', 'YCK2', 'YDL183C', 'YIL152W', 'YNL155W']"
YER184C,YER184C,32,107,4,0.12332079527135949,0.0030339576950809493,0.125,2.7520314505783641,6.522196261682243,0.02962962962962963,"['DDI1', 'DPL1', 'MCM5', 'UBA4']"
YFL021W,GAT1,1,5583,1,1,1,0,0,0,0,['OYE2']
YFL031W,HAC1,317,623,43,0.6242166314684529,0.097501465969854775,0.13564668769716087,0.30050844059381904,1.2155946346922137,0.04793756967670011,"['ALG12', 'BLI1', 'BUD21', 'CBP4', 'CIC1', 'COG1', 'COG5', 'CRM1', 'DPL1', 'EBS1', 'EST2', 'FCY21', 'FLO1', 'FMP52', 'FRQ1', 'GRX8', 'HGH1', 'JEM1', 'KTR2', 'KXD1', 'MDM10', 'MRPS5', 'NUP82', 'PAM1', 'REC114', 'RKM4', 'RML2', 'RSM10', 'SCS2', 'SEC16', 'SEN2', 'SOH1', 'SRP14', 'SSP2', 'SUB1', 'TVP23', 'UBC11', 'UIP3', 'VPS35', 'VPS38', 'VPS8', 'YOR012W', 'YPT52']"
YFL044C,OTU1,180,34,2,0.5007388500806018,0.30019746546783055,0.011111111111111112,0.90769187029775755,1.8245098039215686,0.009433962264150943,"['MAD3', 'NFI1']"
YFL052W,YFL052W,537,81,16,0.35304719684757296,0.0038626256997374153,0.0297951582867784,1.2097783999624332,2.053658873025726,0.026578073089700997,"['AIM24', 'ARF1', 'CCT3', 'CRT10', 'EAF5', 'IMO32', 'KXD1', 'MRPL27', 'RLI1', 'ROG1', 'SSF1', 'SSH4', 'TOF2', 'TOP2', 'YAL065C', 'YOR214C']"
YFR034C,PHO4,63,495,12,0.34390112842557763,0.0083336250691113892,0.19047619047619047,1.122255750050998,2.1483405483405487,0.02197802197802198,"['ILV1', 'KXD1', 'MRP8', 'NAM2', 'PPA2', 'QDR2', 'RRP17', 'SAG1', 'TEA1', 'VIK1', 'WWM1', 'YJR098C']"
YGL013C,PDR1,280,107,7,0.6819250403009135,0.2894434436109089,0.025,0.40680874847865905,1.3044392523364485,0.018421052631578946,"['IFM1', 'MOD5', 'PLP1', 'RPL11b', 'RPL19a', 'YLR156W', 'YOR268C']"
YGL035C,MIG1,9,392,2,0.2267374171592334,0.12757978830882136,0.2222222222222222,1.6672419719118861,3.1649659863945576,0.005012531328320802,"['GDB1', 'HXT13']"
YGL071W,AFT1,18,178,2,0.24361902203116603,0.11084154387586126,0.1111111111111111,1.8128093521497122,3.4850187265917603,0.010309278350515464,"['ATG7', 'NOC3']"
YGL073W,HSF1,143,190,4,1.1432025792584632,0.72407297036658547,0.027972027972027972,-0.28963921174871926,0.821935958778064,0.0121580547112462,"['BRE4', 'ESF1', 'RSF1', 'WBP1']"
YGL096W,TOS8,1,5583,1,1,1,0,0,0,0,['BTT1']
YGL131C,SNT2,2,5583,2,1,1,0,0,0,0,"['IPI3', 'YNL181W']"
YGL162W,SUT1,336,406,21,1.0032800465699445,0.80107217816226739,0.0625,-0.23143756093945497,0.8594519704433498,0.02912621359223301,"['ACA1', 'AHP1', 'AMN1', 'DDR48', 'FSH1', 'HMRA2', 'HST2', 'MAL12', 'MRPL15', 'MSN2', 'OCA5', 'OSW2', 'PXL1', 'RSN1', 'SGT1', 'SOR1', 'YBR013C', 'YER034W', 'YGR117C', 'YOL085C', 'YPL014W']"
YGL181W,GTS1,2,5583,2,1,1,0,0,0,0,"['ATG11', 'MAK3']"
YGL197W,MDS3,112,267,7,0.6822832706430234,0.28792119135668975,0.0625,0.39522102735412518,1.3068820224719102,0.01881720430107527,"['PES4', 'SOG2', 'THI80', 'TVP23', 'YDR056C', 'YGL193C', 'YOS9']"
YGL209W,MIG2,1,5583,1,1,1,0,0,0,0,['HXT6']
YGL237C,HAP2,228,88,2,1.7266926383664696,0.88096053771162586,0.008771929824561403,-0.87248390922922137,0.5565191387559808,0.006369426751592357,"['CHS5', 'SVP26']"
YGL254W,FZF1,2,5583,2,1,1,0,0,0,0,"['RUP1', 'SFL1']"
YGR040W,KSS1,1,27,0,1,1,0,0,0,0,[]
YGR044C,RME1,105,524,17,0.443629426515367,0.017427008543815094,0.1619047619047619,0.80680893728625458,1.7250272628135221,0.027777777777777776,"['AIM20', 'BUD20', 'CDC55', 'HTA2', 'IMO32', 'MDM30', 'PCL7', 'PGA3', 'RBA50', 'RPL10', 'RPS22a', 'RRN10', 'SGV1', 'SOP4', 'STB2', 'YBL028C', 'YNL034W']"
YGR067C,YGR067C,24,259,3,0.308604245029554,0.097504587766714987,0.125,1.4406096667484221,2.69449806949807,0.010714285714285714,"['PFK27', 'PPS1', 'RTC1']"
YGR089W,NNF2,1,5583,1,1,1,0,0,0,0,['VAS1']
YGR097W,ASK10,226,100,7,0.5072557636703258,0.10949413130662758,0.030973451327433628,0.8352267292540243,1.7292477876106196,0.0219435736677116,"['ECM16', 'GPM3', 'IST1', 'RFC5', 'SDC1', 'SGE1', 'YNR048W']"
YGR249W,MGA1,58,310,2,1.5284121440085976,0.84096581997730757,0.034482758620689655,-0.69300878665631727,0.6210233592880979,0.00546448087431694,"['ERG7', 'RAD28']"
YGR288W,MAL13,387,31,3,0.6235334945369873,0.36495852378153298,0.007751937984496124,0.52460353796702286,1.396099024756189,0.007228915662650603,"['HNT1', 'HXT7', 'SPC3']"
YHL009C,YAP3,15,206,2,0.22781210818556333,0.10386027779981725,0.13333333333333333,1.8636275582687143,3.6135922330097086,0.0091324200913242,"['ALG13', 'CDC9']"
YHL020C,OPI1,45,276,5,0.3744514597886441,0.069400409136314442,0.1111111111111111,1.1830752955707464,2.247584541062802,0.015822784810126583,"['BRE2', 'FAS1', 'MDM30', 'PPR1', 'RPS22b']"
YHL027W,RIM101,645,38,11,0.24926013221956264,0.0028779965838304365,0.017054263565891473,1.6410998873059941,2.5056303549571606,0.01636904761904762,"['ALG11', 'BDS1', 'CTF19', 'NFT1', 'PCL6', 'PFK26', 'RAD2', 'RPS8b', 'TUM1', 'YHM2', 'YPC1']"
