,YBR033W,YDR034C,YEL009C,YIL036W,YJL056C,YJR060W,YKL038W,YLR403W,YLR451W,YMR182C,YNL199C,YOL108C,YOR344C,YPL075W,YPL248C
YGR238C,1.1974956776999999,0.42635258912100005,0.222151243711,1.02048768018,0.8791282142839999,0.957669664681,0.15280326168,0.46032571904200004,0.022410231835,1.03125642302,2.91189790697,1.7211181029900002,0.127151904299,0.0488418590596,0.04743905687199999
YGR239C,0.06956888140110001,0.928582348908,0.154282492168,0.051225238681800005,0.0453848610397,0.0160292781032,0.00036699880211099996,9.21616898014e-05,0.0015751540713,0.563387262002,0.0206164982868,0.128213791444,0.168054789521,0.0105669775251,0.156456291153
YGR240C,0.15786842372,0.0162281861535,0.11004865098500001,0.0277827969787,1.8282358562099998,0.0800210408063,8.92435383981e-05,8.00022129638,0.004735553610649999,0.127591422438,20.007640001600002,0.5452705422899999,15.655023626099998,20.0028491654,0.0139785778822
YGR240C-A,0.5287060699989999,0.47575663457500006,0.286054641881,0.277226063026,0.8451308866339999,0.154930371806,0.18482459020999997,0.45717695791999996,0.042134954999900005,0.567906486897,2.1731654701700003,0.31570080114599997,0.647973508556,1.22801730608,0.520423762917
YGR241C,0.648835675476,0.0592375371527,2.71252868602e-05,5.66547527257e-08,0.428283990497,0.00039260590806300004,0.0121969067784,3.71156735993,0.00230090657192,0.150130394882,7.4323048979,1.0324644627700001,1.3347320949400001,0.468258572546,0.13596680701
YGR242W,0.262336888944,0.5423849954909999,0.461192170703,0.14719446264,1.0328319076899999,0.23603411838899999,0.74101085225,0.651330371552,0.092206116351,0.37598919730499997,0.245799265286,0.400457158424,0.31501851026,0.319906836635,0.308013220729
YGR243W,0.441353470939,0.0527689341605,1.31854791941e-05,2.3165709161099996e-08,0.255259752508,0.00024162041266099997,0.0037472891193100002,3.11683063734,0.00212182352585,0.162832648226,6.56698361075,0.9434630411120001,0.99937846451,0.296514647146,0.15002475441299998
YGR244C,0.5668633654240001,0.126847167523,0.105797899585,0.023096876917400002,0.505011325348,0.00120538129781,0.016872849877500002,0.06897252505410001,0.0563628679647,0.516607523315,0.036512913434599996,0.11322400609099999,0.40245800616599997,0.241195886956,0.918449850167
YGR245C,0.262336888944,0.5423849954909999,0.461192170703,0.14719446264,0.399597788277,0.23603411838899999,0.26889919180599997,1.21525454735,0.307746881468,0.37598919730499997,0.245799265286,1.03470902892,0.31501851026,0.319906836635,0.308013220729
YGR246C,0.0023472469655,0.126847167523,0.00294637460986,4.86672333456e-05,0.026677582121599996,0.07647200639639999,0.016872849877500002,0.250086560382,0.006244421576910001,0.077219069182,0.036512913434599996,0.11322400609099999,0.107986707914,0.241195886956,0.0401275114203
